Designator,Mid X,Mid Y,Rotation,Layer
R801,259.5125,-117.65,180.0,top
R802,259.52,-119.15,0.0,top
R804,265.45,-118.4,270.0,top
R805,269.3,-104.2325,270.0,top
R901,192.7,-130.1,90.0,bottom
R902,193.8,-126.9325,270.0,bottom
R903,195.36,-130.8,180.0,bottom
R904,195.36,-129.3325,0.0,bottom
R905,195.56,-118.2325,90.0,top
R906,193.96,-118.2325,90.0,top
R907,181.1,-110.8,270.0,top
R908,187.8,-109.65,90.0,bottom
R909,190.1,-110.45,180.0,bottom
R910,193.2,-110.45,180.0,bottom
R911,196.3,-108.85,180.0,bottom
SW401,242.2375,-125.9125,270.0,top
SW402,237.0,-125.9125,270.0,top
U201,230.6,-153.8,270.0,top
U202,261.7,-167.4,90.0,top
U203,254.7,-167.4,90.0,top
U204,248.1,-167.4,90.0,top
U301,280.024999,-149.85,180.0,top
U302,287.0,-168.7,180.0,top
U401,264.7,-126.1875,315.0,top
U402,281.235,-134.795,180.0,top
U403,278.635,-138.095,180.0,top
U404,256.2,-131.6875,0.0,top
U405,208.045,-139.22,90.0,top
U406,233.3,-93.91,180.0,bottom
U601,216.2,-113.6,0.0,top
U701,240.2,-113.7,0.0,top
U801,264.2,-113.7,0.0,top
U901,195.16,-124.8325,180.0,top
U902,207.36,-124.6325,270.0,top
U903,192.0,-105.95,0.0,top
Y401,248.1,-131.9875,90.0,top
